[pagerank] reading airports from data/airports.txt
[pagerank] read 5740 aiports with IATA code
[pagerank] reading routes from data/routes.txt
[pagerank] read 68292 routes with IATA codes
[pagerank] computing pagerank
[pagerank] printing pagerank results: (pagerank, airport name)
(0.001126988506486708 : Juan Santamaria Intl, Costa Rica)
(0.0011218946591360249 : Provence, France)
(0.0011200001123216694 : Okecie, Poland)
(0.0011062572477348817 : Mohammed V Intl, Morocco)
(0.0011048228592679672 : Sioux Lookout, Canada)
(0.0011035168462598952 : Glasgow, United Kingdom)
(0.0011001871249938391 : Deputado Luis Eduardo Magalhaes, Brazil)
(0.0010909267574522143 : Mashhad, Iran)
(0.0010909219153713541 : Ben Gurion, Israel)
(0.0010901731737847117 : Edmonton Intl, Canada)
(0.001085885191724009 : Nikos Kazantzakis, Greece)
(0.0010804685244562829 : Nadi Intl, Fiji)
(0.0010727543550515717 : Eduardo Gomes Intl, Brazil)
(0.0010726977776929067 : Xinzheng, China)
(0.0010637663183937817 : Vnukovo, Russia)
(0.0010615970624992669 : Hasanuddin, Indonesia)
(0.001047781565940122 : Antalya, Turkey)
(0.0010463389672559073 : Bangalore, India)
(0.00104123073818291 : Chennai Intl, India)
(0.001041181976413824 : Zhoushuizi, China)
(0.0010385385247855495 : Queen Alia Intl, Jordan)
(0.0010205888192686707 : Koln Bonn, Germany)
(0.0010174925025774023 : Ministro Pistarini, Argentina)
(0.001015284003358844 : Kuwait Intl, Kuwait)
(0.0010143353195559367 : Tancredo Neves Intl, Brazil)
(0.0010099957525265208 : Nome, United States)
(0.0010070016016389825 : Luis Munoz Marin Intl, Puerto Rico)
(0.0010023407527814505 : Henri Coanda, Romania)
(0.0009949021044824014 : Adelaide Intl, Australia)
(0.0009939970546342474 : Shenyang Taoxian International Airport, China)
(0.000985122793682514 : Noibai Intl, Vietnam)
(0.0009846976394738728 : Rhodes Diagoras, Greece)
(0.000983688019442806 : Magenta, New Caledonia)
(0.0009829978780445464 : Mactan Cebu Intl, Philippines)
(0.0009794112481892182 : Boryspil Intl, Ukraine)
(0.0009792115643115884 : Cleveland Hopkins Intl, United States)
(0.0009748836627314185 : Tenerife Sur, Spain)
(0.0009708535409745601 : Seeb Intl, Oman)
(0.0009636193697056955 : Yellowknife, Canada)
(0.000960371695542873 : Taiping, China)
(0.000948012664582373 : Koltsovo, Russia)
(0.000947757345986127 : Ralph Wien Mem, United States)
(0.0009328196602742977 : Bergamo Orio Al Serio, Italy)
(0.0009322219132499131 : New Chitose, Japan)
(0.0009315820935146843 : Tribhuvan Intl, Nepal)
(0.0009301400538383985 : Marcos A Gelabert Intl, Panama)
(0.0009284819619317495 : Luanda 4 De Fevereiro, Angola)
(0.0009241394169768445 : Darwin Intl, Australia)
(0.0009239065552082642 : Lynden Pindling Intl, Bahamas)
(0.0009215252256170982 : Riga Intl, Latvia)
(0.0009207613366500837 : Jose Marti Intl, Cuba)
(0.000913287419655135 : Jinan, China)
(0.0009100333980596965 : Juanda, Indonesia)
(0.0009069263787202106 : Tolmachevo, Russia)
(0.0009043702959404822 : Binhai, China)
(0.0009017262713034634 : Longdongbao, China)
(0.0008824691685796756 : Bristol, United Kingdom)
(0.000879189283014691 : Salgado Filho, Brazil)
(0.0008757118726174501 : Luton, United Kingdom)
(0.0008724050286895452 : Afonso Pena, Brazil)
(0.0008701606031998884 : Wellington Intl, New Zealand)
(0.0008688985730978254 : Don Miguel Hidalgo Y Costilla Intl, Mexico)
(0.0008649602106008486 : Fukuoka, Japan)
(0.0008611141165603132 : Jinnah Intl, Pakistan)
(0.0008537426490056608 : Hyderabad, India)
(0.0008534317036326867 : Bandaranaike Intl Colombo, Sri Lanka)
